publish_date,weekday,week,slot,slot_job,brief_id,tier,content_type,slug,title,brief_file,output_file,locales_at_publish,gate,status,drafted_on,quality_passed_on,image_generated_on,published_on,reviewed_by,notes
2026-09-08,Tue,01,1,substantial,M1,T1,money-page,website-in-china,Websites in China for Global Brands,briefs/2026-09-08-website-in-china.md,output/website-in-china.md,en fr es de,,published,2026-09-06,2026-09-06,2026-09-06,2026-09-06,Cyril Drouin (forced test),"Forced test run 2026-09-06 (publish_date 2026-09-08 ignored). No hero generated: money page reuses the agency hero asset. Brief said ICP licensed; copy says ICP filed (site holds filings, not a commercial licence). See logs/2026-09-06.md."
2026-09-10,Thu,01,2,fast,T6-01,T6,upgrade,upgrade-guide-title-suffix,Strip the guide title suffix at the template level,briefs/2026-09-10-upgrade-guide-title-suffix.md,output/upgrade-guide-title-suffix.md,as the page exists,,not_started,,,,,,
2026-09-11,Fri,01,3,upgrade or report,T6-02,T6,upgrade,upgrade-is-wordpress-blocked-in-china,Correct the Google Fonts claim in is-wordpress-blocked-in-china,briefs/2026-09-11-upgrade-is-wordpress-blocked-in-china.md,output/upgrade-is-wordpress-blocked-in-china.md,as the page exists,,not_started,,,,,,
2026-09-15,Tue,02,1,substantial,A3,T1,guide,wordpress-plugins-china,WordPress Plugins That Break in China,briefs/2026-09-15-wordpress-plugins-china.md,output/wordpress-plugins-china.md,en fr es de,,not_started,,,,,,
2026-09-17,Thu,02,2,fast,T2-01,T2,guide-en,google-fonts-china,Google Fonts in China: It Depends Where You Are,briefs/2026-09-17-google-fonts-china.md,output/google-fonts-china.md,en,harness,not_started,,,,,,
2026-09-18,Fri,02,3,upgrade or report,T6-05,T6,upgrade,upgrade-google-analytics-china,Upgrade google-analytics-china with F34,briefs/2026-09-18-upgrade-google-analytics-china.md,output/upgrade-google-analytics-china.md,as the page exists,,not_started,,,,,,
2026-09-22,Tue,03,1,substantial,A9,T1,guide,wordpress-speed-china,Why Your WordPress Site Is Slow in China,briefs/2026-09-22-wordpress-speed-china.md,output/wordpress-speed-china.md,en fr es de,,not_started,,,,,,
2026-09-24,Thu,03,2,fast,T2-05,T2,guide-en,javascript-cdn-china,Which JavaScript CDNs Work in China,briefs/2026-09-24-javascript-cdn-china.md,output/javascript-cdn-china.md,en,harness,not_started,,,,,,
2026-09-25,Fri,03,3,upgrade or report,T6-06,T6,upgrade,upgrade-great-firewall-what-it-blocks,Attach the dependency table to great-firewall-what-it-blocks,briefs/2026-09-25-upgrade-great-firewall-what-it-blocks.md,output/upgrade-great-firewall-what-it-blocks.md,as the page exists,,not_started,,,,,,
2026-09-29,Tue,04,1,substantial,A5,T1,guide,migrate-wordpress-to-china,Migrating a WordPress Site Into China,briefs/2026-09-29-migrate-wordpress-to-china.md,output/migrate-wordpress-to-china.md,en fr es de,,not_started,,,,,,
2026-10-01,Thu,04,2,fast,T3-01,T3,casestudy,bassetti-wordpress-china,Moving a French Software Site Into China,briefs/2026-10-01-bassetti-wordpress-china.md,output/bassetti-wordpress-china.md,en,client sign-off,not_started,,,,,,
2026-10-02,Fri,04,3,upgrade or report,T6-03,T6,upgrade,upgrade-wordpress-hosting-china,Add harness numbers to wordpress-hosting-china,briefs/2026-10-02-upgrade-wordpress-hosting-china.md,output/upgrade-wordpress-hosting-china.md,as the page exists,,not_started,,,,,,
2026-10-06,Tue,05,1,substantial,B5,T1,guide,china-website-brief-checklist,The China Website Brief: A Checklist,briefs/2026-10-06-china-website-brief-checklist.md,output/china-website-brief-checklist.md,en fr es de,,not_started,,,,,,
2026-10-08,Thu,05,2,fast,T2-03,T2,guide-en,recaptcha-china,reCAPTCHA in China: Your Forms Are Dead,briefs/2026-10-08-recaptcha-china.md,output/recaptcha-china.md,en,harness,not_started,,,,,,
2026-10-09,Fri,05,3,upgrade or report,T6-10,T6,upgrade,upgrade-baiduspider-firewall,Add F15 and F16 to baiduspider-firewall,briefs/2026-10-09-upgrade-baiduspider-firewall.md,output/upgrade-baiduspider-firewall.md,as the page exists,,not_started,,,,,,
2026-10-13,Tue,06,1,substantial,A4,T1,guide,wp-admin-slow-china,Why wp-admin Is Slow in China,briefs/2026-10-13-wp-admin-slow-china.md,output/wp-admin-slow-china.md,en fr es de,,not_started,,,,,,
2026-10-15,Thu,06,2,fast,T3-02,T3,casestudy,snf-china-wordpress,Hosting a Chemicals Group in Mainland China,briefs/2026-10-15-snf-china-wordpress.md,output/snf-china-wordpress.md,en,client sign-off,not_started,,,,,,
2026-10-16,Fri,06,3,upgrade or report,T4-01,T4,report,china-dependency-index-2026-10,"China Dependency Index, October 2026",briefs/2026-10-16-china-dependency-index-2026-10.md,output/china-dependency-index-2026-10.md,en,harness,not_started,,,,,,
2026-10-20,Tue,07,1,substantial,A6,T1,guide,wordpress-icp-filing,ICP Filing for a WordPress Site,briefs/2026-10-20-wordpress-icp-filing.md,output/wordpress-icp-filing.md,en fr es de,,not_started,,,,,,
2026-10-22,Thu,07,2,fast,T2-02,T2,guide-en,hubspot-china,HubSpot in China: What Works and What Does Not,briefs/2026-10-22-hubspot-china.md,output/hubspot-china.md,en,harness,not_started,,,,,,
2026-10-23,Fri,07,3,upgrade or report,T6-04,T6,upgrade,upgrade-choosing-web-agency-china,FAQ schema and comparison table for choosing-web-agency-china,briefs/2026-10-23-upgrade-choosing-web-agency-china.md,output/upgrade-choosing-web-agency-china.md,as the page exists,,not_started,,,,,,
2026-10-27,Tue,08,1,substantial,B3,T1,guide,china-website-timeline,How Long a China Website Takes,briefs/2026-10-27-china-website-timeline.md,output/china-website-timeline.md,en fr es de,,not_started,,,,,,
2026-10-29,Thu,08,2,fast,T3-03,T3,casestudy,imhof-woocommerce-china,"WooCommerce Checkout in China, Rebuilt",briefs/2026-10-29-imhof-woocommerce-china.md,output/imhof-woocommerce-china.md,en,client sign-off,not_started,,,,,,
2026-10-30,Fri,08,3,upgrade or report,T6-08,T6,upgrade,upgrade-wordpress-in-china-page,Measurement block and FAQ schema for /wordpress-in-china/,briefs/2026-10-30-upgrade-wordpress-in-china-page.md,output/upgrade-wordpress-in-china-page.md,as the page exists,,not_started,,,,,,
2026-11-03,Tue,09,1,substantial,A7,T1,guide,page-builders-china,"Elementor, Divi and Gutenberg in China",briefs/2026-11-03-page-builders-china.md,output/page-builders-china.md,en fr es de,,not_started,,,,,,
2026-11-05,Thu,09,2,fast,T2-04,T2,guide-en,cloudflare-china,Cloudflare in China: The Part Nobody Mentions,briefs/2026-11-05-cloudflare-china.md,output/cloudflare-china.md,en,harness,not_started,,,,,,
2026-11-06,Fri,09,3,upgrade or report,T6-09,T6,upgrade,upgrade-agency-money-pages,FAQ schema and hard numbers on the two agency money pages,briefs/2026-11-06-upgrade-agency-money-pages.md,output/upgrade-agency-money-pages.md,as the page exists,,not_started,,,,,,
2026-11-10,Tue,10,1,substantial,A11,T1,guide,wordpress-vs-astro-china,WordPress or Astro for a China Site,briefs/2026-11-10-wordpress-vs-astro-china.md,output/wordpress-vs-astro-china.md,en fr es de,,not_started,,,,,,
2026-11-12,Thu,10,2,fast,T3-04,T3,casestudy,zeinley-bilingual-wordpress,A Bilingual Site That Baidu Could Read,briefs/2026-11-12-zeinley-bilingual-wordpress.md,output/zeinley-bilingual-wordpress.md,en,,not_started,,,,,,
2026-11-13,Fri,10,3,upgrade or report,T4-02,T4,report,china-latency-vantage-point-study,Why China Latency Tests Disagree,briefs/2026-11-13-china-latency-vantage-point-study.md,output/china-latency-vantage-point-study.md,en,harness,not_started,,,,,,
2026-11-17,Tue,11,1,substantial,T5-01,T5,guide-en-first,china-payments-website,Accepting Payments on a China Website,briefs/2026-11-17-china-payments-website.md,output/china-payments-website.md,en,,not_started,,,,,,
2026-11-19,Thu,11,2,fast,T2-08,T2,guide-en,form-embeds-china,Embedded Forms That Fail Silently in China,briefs/2026-11-19-form-embeds-china.md,output/form-embeds-china.md,en,harness,not_started,,,,,,
2026-11-20,Fri,11,3,upgrade or report,T6-07,T6,upgrade,upgrade-hosting-guides-consolidation,"Audit the two hosting guides, differentiate or consolidate",briefs/2026-11-20-upgrade-hosting-guides-consolidation.md,output/upgrade-hosting-guides-consolidation.md,as the page exists,,not_started,,,,,,
2026-11-24,Tue,12,1,substantial,B4,T1,guide,global-agency-china-website,Can Your Global Agency Build Your China Site?,briefs/2026-11-24-global-agency-china-website.md,output/global-agency-china-website.md,en fr es de,,not_started,,,,,,
2026-11-26,Thu,12,2,fast,T3-05,T3,casestudy,compass-china-database-platform,Rebuilding a Search Index Inside China,briefs/2026-11-26-compass-china-database-platform.md,output/compass-china-database-platform.md,en,,not_started,,,,,,
2026-11-27,Fri,12,3,upgrade or report,T7-01,T7,translation,translation-batch-01,Translation batch 1,briefs/2026-11-27-translation-batch-01.md,output/translation-batch-01.md,fr es de,"evidence, day 90",not_started,,,,,,
2026-12-01,Tue,13,1,substantial,A10,T1,guide,wordpress-baidu-seo,Baidu SEO for a WordPress Site,briefs/2026-12-01-wordpress-baidu-seo.md,output/wordpress-baidu-seo.md,en fr es de,,not_started,,,,,,
2026-12-03,Thu,13,2,fast,T2-07,T2,guide-en,video-embeds-china,Video Embeds That Work in China,briefs/2026-12-03-video-embeds-china.md,output/video-embeds-china.md,en,harness,not_started,,,,,,
2026-12-04,Fri,13,3,upgrade or report,T4-03,T4,report,china-dependency-index-2026-11,"China Dependency Index, November 2026",briefs/2026-12-04-china-dependency-index-2026-11.md,output/china-dependency-index-2026-11.md,en,harness,not_started,,,,,,
2026-12-08,Tue,14,1,substantial,T5-02,T5,guide-en-first,china-analytics-stack,The China Analytics Stack After GA4,briefs/2026-12-08-china-analytics-stack.md,output/china-analytics-stack.md,en,,not_started,,,,,,
